Date,Time,Team 1,Team 2,TV
09 Jul,21:00,France,Morocco,ITV
10 Jul,20:00,Spain,Belgium,BBC
11 Jul,22:00,Norway,England,ITV
12 Jul,02:00,Argentina,Switzerland/Colombia,ITV
